index  support   support_data
 1     130.000        frozenset({'cake bar'})
 2     32.000        frozenset({'canned fruit'})
 3     168.000        frozenset({'soft cheese'})
 4     106.000        frozenset({'canned vegetables'})
 5     29.000        frozenset({'fish'})
 6     220.000        frozenset({'grapes'})
 7     171.000        frozenset({'flour'})
 8     27.000        frozenset({'bathroom cleaner'})
 9     27.000        frozenset({'cookware'})
 10    524.000        frozenset({'curd'})
 11    30.000        frozenset({'snack products'})
 12    414.000        frozenset({'white bread'})
 13    305.000        frozenset({'onions'})
 14    54.000        frozenset({'softener'})
 15    82.000        frozenset({'house keeping products'})
 16    67.000        frozenset({'soups'})
 17    160.000        frozenset({'herbs'})
 18    545.000        frozenset({'butter'})
 19    38.000        frozenset({'tea'})
 20    73.000        frozenset({'instant coffee'})
 21    1809.000        frozenset({'rolls/buns'})
 22    128.000        frozenset({'packaged fruit/vegetables'})
 23    112.000        frozenset({'cling film/bags'})
 24    329.000        frozenset({'UHT-milk'})
 25    41.000        frozenset({'light bulbs'})
 26    32.000        frozenset({'artif. sweetener'})
 27    60.000        frozenset({'female sanitary products'})
 28    368.000        frozenset({'long life bakery product'})
 29    516.000        frozenset({'beef'})
 30    84.000        frozenset({'dog food'})
 31    256.000        frozenset({'ham'})
 32    115.000        frozenset({'frozen fish'})
 33    580.000        frozenset({'frankfurter'})
 34    50.000        frozenset({'curd cheese'})
 35    31.000        frozenset({'nut snack'})
 36    88.000        frozenset({'candles'})
 37    54.000        frozenset({'sauces'})
 38    28.000        frozenset({'potato products'})
 39    25.000        frozenset({'cooking chocolate'})
 40    275.000        frozenset({'butter milk'})
 41    372.000        frozenset({'salty snack'})
 42    567.000        frozenset({'pork'})
 43    1903.000        frozenset({'other vegetables'})
 44    1032.000        frozenset({'tropical fruit'})
 45    103.000        frozenset({'dish cleaner'})
 46    36.000        frozenset({'specialty fat'})
 47    969.000        frozenset({'shopping bags'})
 48    473.000        frozenset({'frozen vegetables'})
 49    41.000        frozenset({'brandy'})
 50    299.000        frozenset({'specialty chocolate'})
 51    246.000        frozenset({'ice cream'})
 52    83.000        frozenset({'frozen potato products'})
 53    229.000        frozenset({'cat food'})
 54    294.000        frozenset({'candy'})
 55    241.000        frozenset({'sliced cheese'})
 56    174.000        frozenset({'baking powder'})
 57    51.000        frozenset({'spices'})
 58    59.000        frozenset({'kitchen towels'})
 59    571.000        frozenset({'coffee'})
 60    1372.000        frozenset({'yogurt'})
 61    189.000        frozenset({'red/blush wine'})
 62    50.000        frozenset({'liver loaf'})
 63    42.000        frozenset({'ketchup'})
 64    55.000        frozenset({'sparkling wine'})
 65    276.000        frozenset({'oil'})
 66    148.000        frozenset({'pasta'})
 67    53.000        frozenset({'jam'})
 68    91.000        frozenset({'photo/film'})
 69    187.000        frozenset({'white wine'})
